0	INTC	bull
1	MU	bull
2	INTC	bull
3	ORCL	bull
4	MU	bull
5	SPY	bull
6	QQQ	bull
7	NVDA	bull
8	AAPL	bull
9	NVDA	bull
10	SPY	bull
12	QQQ	bull
14	MU	bull
15	ORCL	bull
16	MU	bull
17	INTC	bull
18	INTC	bull
19	MU	bull
20	MU	bear
22	SPY	bull
23	QQQ	bull
24	NBIS	bull
25	MU	bull
26	HOOD	bull
27	MU	bull
28	AVGO	bull
29	ORCL	bull
31	GOOGL	bull
33	QQQ	bull
35	QQQ	bull
37	INTC	bear
38	QQQ	bull
39	QQQ	bull
40	AAPL	bull
41	AAPL	bull
42	MU	bull
43	QQQ	bull
45	MU	bull
48	TSLA	bull
51	QQQ	bull
53	TSLA	bull
54	HOOD	bull
55	MU	bull
56	MU	bull
57	TSLA	bull
61	AAPL	bull
62	AVGO	bear
63	MU	bear
66	TSLA	bull
68	AVGO	bear
69	AAPL	bull
70	SPY	bull
73	INTC	bear
74	AMD	bull
75	QQQ	bull
77	MU	bear
78	AVGO	bear
80	MU	bear
81	AVGO	bull
82	QQQ	bull
84	AMD	bull
85	GOOGL	bear
85	SPY	bull
87	NVDA	bull
88	AVGO	bear
89	TSLA	bear
90	QQQ	bear
91	QQQ	bull
92	TSLA	bear
93	QQQ	bear
94	TSLA	bear
95	QQQ	bear
96	MU	bull
97	MU	bull
98	QQQ	bear
99	AAPL	bull
102	AMD	bull
105	MU	bull
108	INTC	bull
110	AMD	bull
111	NBIS	bull
113	NVDA	bull
114	INTC	bull
115	GOOGL	bear
117	MU	bull
118	MU	bull
120	GOOGL	bear
121	MU	bull
122	META	bear
124	AAPL	bull
124	AMZN	bull
125	GOOGL	bull
126	AMZN	bear
127	MU	bull
128	GOOGL	bull
129	MU	bull
132	AMZN	bull
133	NVDA	bull
135	MU	bull
136	AMD	bull
138	AAPL	bull
140	QQQ	bull
141	MU	bull
142	AMD	bear
144	INTC	bull
145	MU	bear
146	AMD	bear
147	SPY	bull
148	AAPL	bull
149	SPY	bear
150	TSLA	bear
151	SPY	bull
152	SPY	bear
154	INTC	bear
156	QQQ	bear
157	TSLA	bear
159	AMD	bear
160	AMD	bear
161	SPY	bear
162	META	bear
163	TSLA	bull
164	SPY	bull
165	AAPL	bull
166	AAPL	bull
168	SPY	bear
169	AAPL	bull
170	SPY	bear
171	AAPL	bull
172	AMZN	bear
173	AAPL	bull
174	SPY	bear
175	INTC	bear
176	AVGO	bear
179	AMD	bear
180	TSLA	bear
182	SPY	bull
183	AAPL	bull
183	AMZN	bull
183	GOOGL	bull
184	TSLA	bear
185	SPY	bear
186	GOOGL	bull
192	ORCL	bull
193	AAPL	bull
196	ORCL	bull
198	AVGO	bear
200	AAPL	bull
201	AAPL	bull
203	QQQ	bear
203	SPY	bear
204	MU	bear
206	META	bear
207	SPY	bear
208	AAPL	bull
208	SPY	bear
210	SPY	bear
211	TSLA	bear
212	SPY	bear
213	AAPL	bull
214	AAPL	bull
215	AAPL	bull
217	AAPL	bull
218	QQQ	bull
219	AAPL	bull
220	AAPL	bull
220	QQQ	bear
224	AAPL	bull
225	AAPL	bull
227	AAPL	bull
228	MU	bull
229	AMZN	bull
230	SPY	bear
231	AMZN	bull
234	AAPL	bull
235	HOOD	bull
236	SPY	bear
237	AAPL	bull
237	SPY	bear
238	QQQ	bear
242	AAPL	bull
243	MU	bull
244	INTC	bull
247	TSLA	bear
248	NVDA	bull
250	SPY	bear
251	MU	bull
254	AAPL	bear
255	AAPL	bear
256	META	bear
257	SPY	bear
258	SPY	bear
259	SPY	bear
260	QQQ	bear
261	SPY	bear
262	SPY	bear
263	SPY	bear
265	SPY	bear
268	SPY	bear
270	NVDA	bull
271	QQQ	bull
272	SPY	bear
272	TSLA	bear
273	MU	bull
274	QQQ	bear
275	AAPL	bull
276	ORCL	bull
277	MU	bear
280	AAPL	bear
281	AMZN	bear
282	HOOD	bull
283	NBIS	bear
286	TSLA	bear
288	TSLA	bull
289	QQQ	bear
290	QQQ	bear
291	NVDA	bear
292	AMZN	bull
294	SPY	bear
295	TSLA	bear
297	NBIS	bear
298	HOOD	bull
300	AMZN	bull
